sample_id,longitude,latitude
VBS97164,34.183,0.034
VBS97165,34.178,0.027
VBS97166,34.178,0.027
VBS97167,34.178,0.027
VBS97168,34.183,0.034
VBS97169,34.183,0.034
VBS97170,34.183,0.034
VBS97171,34.183,0.034
VBS97172,34.183,0.034
VBS97173,34.178,0.027
VBS97174,34.178,0.027
VBS97175,34.178,0.027
VBS97176,34.178,0.027
VBS97177,34.178,0.027
VBS97179,34.178,0.027
VBS97180,34.178,0.027
VBS97181,34.178,0.027
VBS97182,34.178,0.027
VBS97183,34.178,0.027
VBS97184,34.178,0.027
VBS97185,34.178,0.027
VBS97186,34.178,0.027
VBS97187,34.178,0.027
VBS97188,34.189,0.072
VBS97189,34.189,0.072
VBS97190,34.189,0.072
VBS97191,34.189,0.072
VBS97192,34.189,0.072
VBS97193,34.178,0.027
VBS97194,34.178,0.027
VBS97195,34.178,0.027
VBS97196,34.178,0.027
VBS97197,34.178,0.027
VBS97198,34.178,0.027
VBS97199,34.178,0.027
VBS97200,34.178,0.027
VBS97201,34.178,0.027
VBS97202,34.178,0.027
VBS97203,34.178,0.027
VBS97204,34.178,0.027
VBS97205,34.178,0.027
VBS97206,34.178,0.027
VBS97208,34.178,0.027
VBS97209,34.178,0.027
VBS97210,34.178,0.027
VBS97211,34.183,0.034
VBS97212,34.183,0.034
VBS97213,34.183,0.034
VBS97214,34.183,0.034
VBS97215,34.183,0.034
VBS97216,34.183,0.034
VBS97217,34.183,0.034
VBS97218,34.183,0.034
VBS97219,34.178,0.027
VBS97220,34.178,0.027
VBS97221,34.178,0.027
VBS97222,34.183,0.034
VBS97223,34.183,0.034
VBS97224,34.183,0.034
VBS97226,34.183,0.034
VBS97227,34.183,0.034
VBS97228,34.183,0.034
VBS97229,34.183,0.034
VBS97230,34.183,0.034
VBS97231,34.183,0.034
VBS97232,34.183,0.034
VBS97233,34.183,0.034
VBS97234,34.183,0.034
VBS97235,34.183,0.034
VBS97236,34.183,0.034
VBS97237,34.183,0.034
VBS97238,34.178,0.027
VBS97240,34.178,0.027
VBS97241,34.178,0.027
VBS97242,34.178,0.027
VBS97243,34.178,0.027
VBS97244,34.178,0.027
VBS97245,34.178,0.027
VBS97246,34.178,0.027
VBS97247,34.178,0.027
VBS97248,34.178,0.027
VBS97249,34.178,0.027
VBS97250,34.183,0.034
VBS97252,34.183,0.034
VBS97253,34.178,0.027
VBS97254,34.178,0.027
VBS97255,34.178,0.027
VBS97256,34.178,0.027
VBS97257,34.178,0.027
VBS97258,34.178,0.027
VBS97259,34.178,0.027
VBS97260,34.178,0.027
VBS97261,34.178,0.027
VBS97262,34.178,0.027
VBS97263,34.178,0.027
VBS97264,34.178,0.027
VBS97265,34.178,0.027
VBS97266,34.178,0.027
VBS97267,34.178,0.027
VBS97268,34.178,0.027
VBS97269,34.178,0.027
VBS97270,34.178,0.027
VBS97271,34.178,0.027
VBS97272,34.178,0.027
VBS97273,34.178,0.027
VBS97274,34.178,0.027
VBS97275,34.183,0.034
VBS97276,34.183,0.034
VBS97277,34.178,0.027
VBS97278,34.183,0.034
VBS97279,34.178,0.027
VBS97280,34.178,0.027
VBS97281,34.178,0.027
VBS97282,34.178,0.027
VBS97283,34.183,0.034
VBS97284,34.183,0.034
VBS97285,34.183,0.034
VBS97286,34.183,0.034
VBS97287,34.183,0.034
AK0123-C,39.909,-3.511
AK0124-C,39.909,-3.511
AK0136-C,39.909,-3.511
AK0138-C,39.909,-3.511
AK0139-C,39.909,-3.511
AK0140-C,39.909,-3.511
AK0142-C,39.909,-3.511
AK0143-C,39.909,-3.511
AK0144-C,39.909,-3.511
AK0145-C,39.909,-3.511
AK0148-C,39.909,-3.511
AK0149-C,39.909,-3.511
AK0150-C,39.909,-3.511
AK0151-C,39.909,-3.511
AK0152-C,39.909,-3.511
AK0153-C,39.909,-3.511
AK0154-C,39.909,-3.511
AK0157-C,39.909,-3.511
AK0158-C,39.909,-3.511
AK0161-C,39.909,-3.511
AK0163-C,39.909,-3.511
AK0164-C,39.909,-3.511
AK0165-C,39.909,-3.511
AK0166-C,39.909,-3.511
SRR12281358,34.719,-0.59
